[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000380s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000423s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003179s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000379s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | SQL: SHOW COLUMNS FROM `think_node` [ RunTime:0.003210s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | SQL: SELECT `id` FROM `think_node` LIMIT 1   [ RunTime:0.000279s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | SQL: SELECT `id`,`name`,`group_id`,`title` FROM `think_node` WHERE ( `level` = 2 ) AND ( `status` = 1 ) AND ( `pid` = '1' ) ORDER BY sort asc  [ RunTime:0.000296s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | NOTIC: [8] Undefined index:  _ACCESS_LIST PublicAction.class.php 第 55 行.
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_template ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.000930s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.000981s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_parse ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.007370s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007440s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_filter ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run ContentReplace Behavior [ RunTime:0.000491s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run TokenBuild Behavior [ RunTime:0.000487s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000386s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.000538s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002034s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_end ] --START--
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000808s ]
[ 2012-09-06T16:03:26+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.000869s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ route_check ] --START--
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000679s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000750s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000771s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000819s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003033s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000342s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SHOW COLUMNS FROM `think_group` [ RunTime:0.002531s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SELECT `id`,`title` FROM `think_group` WHERE status=1  [ RunTime:0.000139s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SHOW COLUMNS FROM `think_node` [ RunTime:0.002654s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | NOTIC: [8] Undefined index:  pid NodeAction.class.php 第 11 行.
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SHOW COLUMNS FROM `think_node` [ RunTime:0.002579s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SELECT * FROM `think_node` WHERE ( `id` = 0 ) LIMIT 1   [ RunTime:0.000149s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SHOW COLUMNS FROM `think_node` [ RunTime:0.002613s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SELECT COUNT(id) AS tp_count FROM `think_node` WHERE ( `pid` = 0 ) LIMIT 1   [ RunTime:0.000167s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | SQL: SELECT * FROM `think_node` WHERE ( `pid` = 0 ) ORDER BY `id` desc LIMIT 0,20   [ RunTime:0.000201s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_template ] --START--
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001308s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001359s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | NOTIC: [8] Undefined index:  sort TagLibHtml.class.php 第 429 行.
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.015626s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015683s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000595s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000710s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000658s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000647s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002753s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_end ] --START--
