[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run CheckRoute Behavior [ RunTime:0.000678s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.000758s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000378s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000424s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003146s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000343s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.000307s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.000355s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.006030s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006096s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run ContentReplace Behavior [ RunTime:0.000243s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run TokenBuild Behavior [ RunTime:0.000368s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000504s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.000309s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001546s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000303s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.000345s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Run CheckRoute Behavior [ RunTime:0.001370s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.001439s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000391s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000439s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003028s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000347s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Run LocationTemplate Behavior [ RunTime:0.000372s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.000434s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Run ParseTemplate Behavior [ RunTime:0.007120s ]
