[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31425' and `datatype` = '报账项' and `status` = '待检出' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000411s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  title 58b0edab1e74ef585943d6ba69b06423.php 第 260 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  type 58b0edab1e74ef585943d6ba69b06423.php 第 261 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  shenhe_remark 58b0edab1e74ef585943d6ba69b06423.php 第 262 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  value 58b0edab1e74ef585943d6ba69b06423.php 第 263 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  method 58b0edab1e74ef585943d6ba69b06423.php 第 264 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  remark 58b0edab1e74ef585943d6ba69b06423.php 第 265 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  time 58b0edab1e74ef585943d6ba69b06423.php 第 266 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002773s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000283s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  _URL_ MethodAction.class.php 第 6 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  chanpinID 58b0edab1e74ef585943d6ba69b06423.php 第 268 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002657s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 1020 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '' and `datatype` = '报账项' and `status` = '待检出' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000468s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 899 and defined MethodAction.class.php 第 917 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 919 行.
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002949s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000343s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002469s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000805s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,40449' ) LIMIT 1   [ RunTime:0.000746s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000766s ]
[ 2012-08-21T13:49:22+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,40449' ) LIMIT 1   [ RunTime:0.000760s ]
