[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Run ParseTemplate Behavior [ RunTime:0.000064s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.067019s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_filter ] --START--
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Run ContentReplace Behavior [ RunTime:0.000109s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Run TokenBuild Behavior [ RunTime:0.000112s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Run ShowRuntime Behavior [ RunTime:0.000067s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.066988s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_end ] --START--
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-07-20T17:13:10+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31322 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.066981s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ route_check ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run CheckRoute Behavior [ RunTime:0.000774s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000867s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ app_begin ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000481s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000542s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003316s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000360s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003112s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000332s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002780s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '基本信息' LIMIT 1   [ RunTime:0.000301s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40988' LIMIT 1   [ RunTime:0.000255s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000251s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005130s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE `chanpinID` = '31322' LIMIT 1   [ RunTime:0.000385s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.004638s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `type` = '主题'  [ RunTime:0.000294s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run LocationTemplate Behavior [ RunTime:0.000783s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000833s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_parse ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002893s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000324s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run LocationTemplate Behavior [ RunTime:0.000330s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.016554s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_parse ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ParseTemplate Behavior [ RunTime:0.006462s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006514s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_filter ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ContentReplace Behavior [ RunTime:0.000478s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run TokenBuild Behavior [ RunTime:0.000497s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000360s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ShowRuntime Behavior [ RunTime:0.000509s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001965s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_end ] --START--
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000510s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000554s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003037s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000309s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002824s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000301s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\ChanpinAction.class.php on line 311 and defined MethodAction.class.php 第 757 行.
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 759 行.
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002525s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000217s ]
[ 2012-07-20T17:13:11+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002675s ]
