[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000416s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002588s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31193' LIMIT 1   [ RunTime:0.000154s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002534s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002520s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerp_chanpin_shoujia` WHERE 1=1 AND chanpinID='31193' LIMIT 1   [ RunTime:0.000175s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_dataCopy` [ RunTime:0.002474s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerp_dataCopy` WHERE `dataID` = '31175' and `datatype` = '线路' ORDER BY time desc LIMIT 1   [ RunTime:0.000234s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.005063s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '2222' and `type` = '视频' LIMIT 1   [ RunTime:0.000350s ]
[ 2012-07-12T09:49:28+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = 'tup ' and `type` = '图片' LIMIT 1   [ RunTime:0.000285s ]
