[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerp_dataCopy` WHERE `dataID` = '31334' and `datatype` = '线路' ORDER BY time desc LIMIT 1   [ RunTime:0.000254s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002628s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000270s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_category` [ RunTime:0.002609s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002661s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000314s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  typemark ChanpinAction.class.php 第 414 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  chutanriqi ChanpinAction.class.php 第 414 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  export ChanpinAction.class.php 第 415 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  typemark ChanpinAction.class.php 第 422 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  typemark ChanpinAction.class.php 第 422 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  typemark ChanpinAction.class.php 第 436 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  typemark ChanpinAction.class.php 第 441 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000791s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000837s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003218s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000324s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000344s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.018832s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.006300s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006359s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000474s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000515s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000353s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000521s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001985s ]
