[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000306s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_template ] --START--
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run LocationTemplate Behavior [ RunTime:0.000316s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.085332s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_parse ] --START--
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ParseTemplate Behavior [ RunTime:0.001361s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.065466s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_filter ] --START--
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ContentReplace Behavior [ RunTime:0.000041s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run TokenBuild Behavior [ RunTime:0.000040s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ShowRuntime Behavior [ RunTime:0.000051s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.065634s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_end ] --START--
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.065494s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ParseTemplate Behavior [ RunTime:0.000062s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.065466s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_filter ] --START--
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ContentReplace Behavior [ RunTime:0.000110s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run TokenBuild Behavior [ RunTime:0.000107s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ShowRuntime Behavior [ RunTime:0.000069s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.066056s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_end ] --START--
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-24T10:47:26+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31334 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.066062s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | INFO: Tag[ route_check ] --START--
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | INFO: Run CheckRoute Behavior [ RunTime:0.000591s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000657s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | INFO: Tag[ app_begin ] --START--
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000358s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000420s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003065s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000327s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002903s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000289s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002679s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '成本售价' LIMIT 1   [ RunTime:0.000278s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40988' LIMIT 1   [ RunTime:0.000266s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000249s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002473s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31334' LIMIT 1   [ RunTime:0.000143s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_chengben` [ RunTime:0.002714s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_chengben` [ RunTime:0.002628s ]
[ 2012-07-24T10:47:28+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31334 | SQL: SELECT * FROM `myerpview_chanpin_chengben` WHERE 1=1 AND parentID='31334'  [ RunTime:0.000330s ]
