[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002278s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002193s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003061s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31358' LIMIT 1   [ RunTime:0.000360s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002339s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002169s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002958s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31357' LIMIT 1   [ RunTime:0.000364s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002211s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002158s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003047s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31356' LIMIT 1   [ RunTime:0.000355s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002182s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002201s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002896s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31355' LIMIT 1   [ RunTime:0.000334s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002225s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002322s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003057s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31354' LIMIT 1   [ RunTime:0.000366s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002274s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002211s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002934s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31303' LIMIT 1   [ RunTime:0.000336s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002229s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002220s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002922s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31302' LIMIT 1   [ RunTime:0.000305s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002193s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002177s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002954s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31293' LIMIT 1   [ RunTime:0.000320s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002368s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002323s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003203s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31292' LIMIT 1   [ RunTime:0.000376s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002224s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002180s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002912s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31277' LIMIT 1   [ RunTime:0.000294s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002157s ]
