[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002887s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000299s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_category` [ RunTime:0.002888s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.003020s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_category` WHERE `systemID` = '40982' LIMIT 1   [ RunTime:0.000329s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40179' LIMIT 1   [ RunTime:0.000319s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40181' LIMIT 1   [ RunTime:0.000294s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.003143s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002790s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerp_chanpin_xianlu` WHERE 1=1 AND chanpinID='31175' LIMIT 1   [ RunTime:0.000237s ]
