[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31362'  [ RunTime:0.000162s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002538s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002550s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31367'  [ RunTime:0.000154s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1216 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.002724s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31353' LIMIT 1   [ RunTime:0.000287s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002544s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002576s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005207s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31334' LIMIT 1   [ RunTime:0.000400s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002918s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE `parentID` = '31353'  [ RunTime:0.000374s ]
