[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000363s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 92 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 93 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_om_xianlu` [ RunTime:0.007554s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT DISTINCT  COUNT(*) AS tp_count FROM `myerpview_om_xianlu` WHERE ( `status` = '准备' ) AND ( `departmentID` = '40151' ) AND ( `datatype` = '线路' ) AND ( `type` = '管理' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,40185,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',40185,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,40189,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',40189,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40187,') OR (`DUR` = '40150,40187,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40187,') OR (`DUR` = ',40187,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40191,') OR (`DUR` = '40178,40191,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40191,') OR (`DUR` = ',40191,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40190,') OR (`DUR` = '40150,40190,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40190,') OR (`DUR` = ',40190,40449') OR (`DUR` = ',,40449'))AND (`status_system` = '1') LIMIT 1   [ RunTime:0.001272s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_xianlu` WHERE ( `status` = '准备' ) AND ( `departmentID` = '40151' ) AND ( `datatype` = '线路' ) AND ( `type` = '管理' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,40185,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',40185,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,40189,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',40189,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40187,') OR (`DUR` = '40150,40187,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40187,') OR (`DUR` = ',40187,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40191,') OR (`DUR` = '40178,40191,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40191,') OR (`DUR` = ',40191,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40190,') OR (`DUR` = '40150,40190,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40190,') OR (`DUR` = ',40190,40449') OR (`DUR` = ',,40449'))AND (`status_system` = '1') ORDER BY time desc LIMIT 0,20   [ RunTime:0.001275s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined variable: nnd MethodAction.class.php 第 586 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run LocationTemplate Behavior [ RunTime:0.000556s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000602s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_parse ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003146s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000337s ]
