[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31594 ) AND ( `datatype` = '报账单' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000752s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31594 ) AND ( `datatype` = '报账单' ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000752s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.003149s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000336s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002954s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000371s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerp_dataShenhe` [ RunTime:0.002550s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerp_dataShenhe` WHERE `datatype` = '报账单' and `processID` = '2'  [ RunTime:0.000169s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002880s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '子团产品' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000304s ]
