[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003025s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000330s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002768s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_user` WHERE `title` = 'aaa' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000320s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002780s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000336s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000315s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '-1' LIMIT 1   [ RunTime:0.000251s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000263s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000259s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000258s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.004584s ]
