[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.043489s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_filter ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ContentReplace Behavior [ RunTime:0.000047s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run TokenBuild Behavior [ RunTime:0.000042s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowRuntime Behavior [ RunTime:0.000053s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.044300s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.043986s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Use of undefined constant chanpinID - assumed 'chanpinID' ac068ce3b2b67211b72816510821cf7d.php 第 13 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Use of undefined constant ischild - assumed 'ischild' ac068ce3b2b67211b72816510821cf7d.php 第 71 行.
