[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ view_filter ] --START--
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run ContentReplace Behavior [ RunTime:0.000727s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run TokenBuild Behavior [ RunTime:0.000671s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000530s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run ShowRuntime Behavior [ RunTime:0.000726s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002826s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ view_end ] --START--
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000596s ]
[ 2012-07-11T14:09:28+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000651s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ route_check ] --START--
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run CheckRoute Behavior [ RunTime:0.000841s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000920s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ app_begin ] --START--
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000584s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000630s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003471s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000391s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003167s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000312s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002784s ]
[ 2012-07-11T14:09:30+08:00 ] /Index.php?s=//SetSystem/dataDictionary/type/%E8%A7%86%E9%A2%91/title/2222 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '数据字典' LIMIT 1   [ RunTime:0.000287s ]
