[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [2] Missing argument 2 for MethodAction::_getzituandingdan(), called in E:\Myerp\Myerp\Lib\Action\ChanpinAction.class.php on line 437 and defined MethodAction.class.php 第 1242 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002577s ]
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31353' LIMIT 1   [ RunTime:0.000257s ]
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002943s ]
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002908s ]
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND parentID='31353'  [ RunTime:0.000360s ]
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  baomingrenshu MethodAction.class.php 第 1246 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  baomingjiage MethodAction.class.php 第 1247 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  shoujiarenshu MethodAction.class.php 第 1252 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  shoujiajiage MethodAction.class.php 第 1253 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  chengrenshu MethodAction.class.php 第 1254 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  lingduirenshu MethodAction.class.php 第 1255 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  ertongrenshu MethodAction.class.php 第 1256 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined index:  querenrenshu MethodAction.class.php 第 1258 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | NOTIC: [8] Undefined variable: shoujiaID MethodAction.class.php 第 1249 行.
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000755s ]
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000801s ]
[ 2012-07-30T14:09:30+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/typemark/%E5%87%BA%E5%9B%A2%E9%80%9A%E7%9F%A5/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
